image_id,clip_name,labels,labels_pred,accurate_tf
data/train_images_tiny/clip_000003/00000.jpg,clip_000003,"[needle driver, nan, needle driver, cadiere forceps]","[needle driver, nan, needle driver, cadiere forceps]",True
data/train_images_tiny/clip_000003/00060.jpg,clip_000003,"[needle driver, nan, needle driver, cadiere forceps]","[needle driver, nan, needle driver, cadiere forceps]",True
data/train_images_tiny/clip_000004/00000.jpg,clip_000004,"[needle driver, nan, needle driver, cadiere forceps]","[needle driver, nan, needle driver, cadiere forceps]",True
data/train_images_tiny/clip_000004/00060.jpg,clip_000004,"[needle driver, nan, needle driver, cadiere forceps]","[needle driver, nan, needle driver, cadiere forceps]",True
data/train_images_tiny/clip_000005/00000.jpg,clip_000005,"[needle driver, nan, needle driver, cadiere forceps]","[needle driver, nan, needle driver, cadiere forceps]",True
data/train_images_tiny/clip_000005/00060.jpg,clip_000005,"[needle driver, nan, needle driver, cadiere forceps]","[needle driver, nan, needle driver, cadiere forceps]",True
data/train_images_tiny/clip_000009/00000.jpg,clip_000009,"[needle driver, nan, needle driver, cadiere forceps]","[needle driver, nan, needle driver, cadiere forceps]",True
data/train_images_tiny/clip_000009/00060.jpg,clip_000009,"[needle driver, nan, needle driver, cadiere forceps]","[needle driver, nan, needle driver, cadiere forceps]",True
data/train_images_tiny/clip_000016/00000.jpg,clip_000016,"[needle driver, nan, needle driver, cadiere forceps]","[needle driver, nan, needle driver, cadiere forceps]",True
data/train_images_tiny/clip_000016/00060.jpg,clip_000016,"[needle driver, nan, needle driver, cadiere forceps]","[needle driver, nan, needle driver, cadiere forceps]",True
data/train_images_tiny/clip_000028/00000.jpg,clip_000028,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000028/00060.jpg,clip_000028,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000031/00000.jpg,clip_000031,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000031/00060.jpg,clip_000031,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000034/00060.jpg,clip_000034,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000034/00000.jpg,clip_000034,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000038/00060.jpg,clip_000038,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000038/00000.jpg,clip_000038,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000039/00060.jpg,clip_000039,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000039/00000.jpg,clip_000039,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000040/00060.jpg,clip_000040,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000040/00000.jpg,clip_000040,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000044/00000.jpg,clip_000044,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000044/00060.jpg,clip_000044,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000045/00000.jpg,clip_000045,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000045/00060.jpg,clip_000045,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000046/00000.jpg,clip_000046,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000046/00060.jpg,clip_000046,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000051/00060.jpg,clip_000051,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000051/00000.jpg,clip_000051,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000065/00060.jpg,clip_000065,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000065/00000.jpg,clip_000065,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000068/00060.jpg,clip_000068,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000068/00000.jpg,clip_000068,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000077/00060.jpg,clip_000077,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000077/00000.jpg,clip_000077,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000083/00000.jpg,clip_000083,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000083/00060.jpg,clip_000083,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","[force bipolar, nan, monopolar curved scissors, cadiere forceps]",True
data/train_images_tiny/clip_000099/00060.jpg,clip_000099,"[needle driver, nan, needle driver, cadiere forceps]","[needle driver, nan, needle driver, cadiere forceps]",True
data/train_images_tiny/clip_000099/00000.jpg,clip_000099,"[needle driver, nan, needle driver, cadiere forceps]","[needle driver, nan, needle driver, cadiere forceps]",True
data/train_images_tiny/clip_000113/00000.jpg,clip_000113,"[needle driver, nan, needle driver, cadiere forceps]","[needle driver, nan, needle driver, cadiere forceps]",True
data/train_images_tiny/clip_000113/00060.jpg,clip_000113,"[needle driver, nan, needle driver, cadiere forceps]","[needle driver, nan, needle driver, cadiere forceps]",True
data/train_images_tiny/clip_000114/00000.jpg,clip_000114,"[needle driver, nan, needle driver, cadiere forceps]","[needle driver, nan, needle driver, cadiere forceps]",True
data/train_images_tiny/clip_000114/00060.jpg,clip_000114,"[needle driver, nan, needle driver, cadiere forceps]","[needle driver, nan, needle driver, cadiere forceps]",True
data/train_images_tiny/clip_000130/00060.jpg,clip_000130,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","[bipolar forceps, nan, monopolar curved scissors, grasping retractor]",True
data/train_images_tiny/clip_000130/00000.jpg,clip_000130,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","[bipolar forceps, nan, monopolar curved scissors, grasping retractor]",True
data/train_images_tiny/clip_000135/00000.jpg,clip_000135,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","[bipolar forceps, nan, monopolar curved scissors, grasping retractor]",True
data/train_images_tiny/clip_000135/00060.jpg,clip_000135,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","[bipolar forceps, nan, monopolar curved scissors, grasping retractor]",True
data/train_images_tiny/clip_000146/00000.jpg,clip_000146,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","[bipolar forceps, nan, monopolar curved scissors, grasping retractor]",True
data/train_images_tiny/clip_000146/00060.jpg,clip_000146,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","[bipolar forceps, nan, monopolar curved scissors, grasping retractor]",True
data/train_images_tiny/clip_000148/00060.jpg,clip_000148,"[bipolar forceps, nan, monopolar curved scissors, grasping retractor]","[bipolar forceps, nan, monopolar curved scissors, grasping retractor]",True
